Ticker,Ticker + Name,Name
BTC-USD,BTC-USD | Bitcoin,Bitcoin
ETH-USD,ETH-USD | Ethereum,Ethereum
BNB-USD,BNB-USD | BinanceCoin,BinanceCoin
ADA-USD,ADA-USD | Cardano,Cardano
USDT-USD,USDT-USD | Tether,Tether
XRP-USD,XRP-USD | XRP,XRP
SOL1-USD,SOL1-USD | Solana,Solana
HEX-USD,HEX-USD | HEX,HEX
DOT1-USD,DOT1-USD | Polkadot,Polkadot
DOGE-USD,DOGE-USD | Dogecoin,Dogecoin
USDC-USD,USDC-USD | USDCoin,USDCoin
UNI3-USD,UNI3-USD | Uniswap,Uniswap
LUNA1-USD,LUNA1-USD | Terra,Terra
LTC-USD,LTC-USD | Litecoin,Litecoin
AVAX-USD,AVAX-USD | Avalanche,Avalanche
LINK-USD,LINK-USD | Chainlink,Chainlink
BCH-USD,BCH-USD | BitcoinCash,BitcoinCash
ALGO-USD,ALGO-USD | Algorand,Algorand
SHIB-USD,"SHIB-USD | SHIBA,INU","SHIBA,INU"
MATIC-USD,MATIC-USD | MaticNetwork,MaticNetwork
XLM-USD,XLM-USD | Stellar,Stellar
VET-USD,VET-USD | VeChain,VeChain
ICP1-USD,ICP1-USD | InternetComputer,InternetComputer
AXS-USD,AXS-USD | AxieInfinity,AxieInfinity
FIL-USD,FIL-USD | FilecoinFutures,FilecoinFutures
ATOM1-USD,ATOM1-USD | Cosmos,Cosmos
TRX-USD,TRX-USD | TRON,TRON
ETC-USD,ETC-USD | EthereumClassic,EthereumClassic
FTT1-USD,FTT1-USD | FTXToken,FTXToken
DAI1-USD,DAI1-USD | Dai,Dai
THETA-USD,THETA-USD | THETA,THETA
XTZ-USD,XTZ-USD | Tezos,Tezos
FTM-USD,FTM-USD | Fantom,Fantom
HBAR-USD,HBAR-USD | HederaHashgraph,HederaHashgraph
CAKE-USD,CAKE-USD | PancakeSwap,PancakeSwap
CRO-USD,CRO-USD | CryptocomCoin,CryptocomCoin
XMR-USD,XMR-USD | Monero,Monero
FLOW1-USD,FLOW1-USD | FlowDapperLabs,FlowDapperLabs
EGLD-USD,EGLD-USD | Elrond,Elrond
EOS-USD,EOS-USD | EOS,EOS
AAVE-USD,AAVE-USD | Aave,Aave
GRT2-USD,GRT2-USD | TheGraph,TheGraph
QNT-USD,QNT-USD | Quant,Quant
MIOTA-USD,MIOTA-USD | IOTA,IOTA
STX1-USD,STX1-USD | Stacks,Stacks
BSV-USD,BSV-USD | BitcoinSV,BitcoinSV
NEO-USD,NEO-USD | NEO,NEO
WAVES-USD,WAVES-USD | Waves,Waves
KSM-USD,KSM-USD | Kusama,Kusama
MKR-USD,MKR-USD | Maker,Maker
BTT1-USD,BTT1-USD | BitTorrent,BitTorrent
ONE2-USD,ONE2-USD | Harmony,Harmony
HNT1-USD,HNT1-USD | Helium,Helium
AMP1-USD,AMP1-USD | Amp,Amp
CELO-USD,CELO-USD | Celo,Celo
OMG-USD,OMG-USD | OmiseGO,OmiseGO
DASH-USD,DASH-USD | Dash,Dash
CHZ-USD,CHZ-USD | Chiliz,Chiliz
COMP-USD,COMP-USD | Compound,Compound
ZEC-USD,ZEC-USD | Zcash,Zcash
RUNE-USD,RUNE-USD | THORChain,THORChain
AR-USD,AR-USD | Arweave,Arweave
HOT1-USD,HOT1-USD | Holo,Holo
DCR-USD,DCR-USD | Decred,Decred
XEM-USD,XEM-USD | NEM,NEM
TFUEL-USD,TFUEL-USD | ThetaFuel,ThetaFuel
SUSHI-USD,SUSHI-USD | Sushi,Sushi
CTC1-USD,CTC1-USD | Creditcoin,Creditcoin
ICX-USD,ICX-USD | ICON,ICON
MANA-USD,MANA-USD | Decentraland,Decentraland
ENJ-USD,ENJ-USD | EnjinCoin,EnjinCoin
XDC-USD,XDC-USD | XinFinNetwork,XinFinNetwork
CEL-USD,CEL-USD | Celsius,Celsius
TUSD-USD,TUSD-USD | TrueUSD,TrueUSD
YFI-USD,YFI-USD | yearnfinance,yearnfinance
QTUM-USD,QTUM-USD | Qtum,Qtum
BTG-USD,BTG-USD | BitcoinGold,BitcoinGold
CRV-USD,CRV-USD | CurveDAOToken,CurveDAOToken
OMI-USD,OMI-USD | ECOMI,ECOMI
ZIL-USD,ZIL-USD | Zilliqa,Zilliqa
SNX-USD,SNX-USD | SynthetixNetworkToken,SynthetixNetworkToken
RVN-USD,RVN-USD | Ravencoin,Ravencoin
BAT-USD,BAT-USD | BasicAttentionToken,BasicAttentionToken
CCXX-USD,CCXX-USD | CounosX,CounosX
SRM-USD,SRM-USD | Serum,Serum
BNT-USD,BNT-USD | Bancor,Bancor
IOST-USD,IOST-USD | IOST,IOST
SC-USD,SC-USD | Siacoin,Siacoin
ZEN-USD,ZEN-USD | Horizen,Horizen
NU-USD,NU-USD | NuCypher,NuCypher
ZRX-USD,ZRX-USD | 0x,0x
ONT-USD,ONT-USD | Ontology,Ontology
CELR-USD,CELR-USD | CelerNetwork,CelerNetwork
DFI-USD,DFI-USD | DeFiChain,DeFiChain
SKL-USD,SKL-USD | SKALENetwork,SKALENetwork
DGB-USD,DGB-USD | DigiByte,DigiByte
ANKR-USD,ANKR-USD | Ankr,Ankr
NANO-USD,NANO-USD | Nano,Nano
RAY-USD,RAY-USD | Raydium,Raydium
XWC-USD,XWC-USD | WhiteCoin,WhiteCoin
