Ticker,Ticker + Name,Name
AAPL,AAPL | Apple Inc. Common Stock,Apple Inc. Common Stock
MSFT,MSFT | Microsoft Corporation Common Stock,Microsoft Corporation Common Stock
GOOG,GOOG | Alphabet Inc. Class C Capital Stock,Alphabet Inc. Class C Capital Stock
GOOGL,GOOGL | Alphabet Inc. Class A Common Stock,Alphabet Inc. Class A Common Stock
AMZN,AMZN | Amazon.com Inc. Common Stock,Amazon.com Inc. Common Stock
FB,FB | Facebook Inc. Class A Common Stock,Facebook Inc. Class A Common Stock
TSLA,TSLA | Tesla Inc. Common Stock,Tesla Inc. Common Stock
TSM,TSM | Taiwan Semiconductor Manufacturing Company Ltd.,Taiwan Semiconductor Manufacturing Company Ltd.
NVDA,NVDA | NVIDIA Corporation Common Stock,NVIDIA Corporation Common Stock
JPM,JPM | JP Morgan Chase & Co. Common Stock,JP Morgan Chase & Co. Common Stock
V,V | Visa Inc.,Visa Inc.
BABA,BABA | Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
IDXX,IDXX | IDEXX Laboratories Inc. Common Stock,IDEXX Laboratories Inc. Common Stock
JNJ,JNJ | Johnson & Johnson Common Stock,Johnson & Johnson Common Stock
UNH,UNH | UnitedHealth Group Incorporated Common Stock (DE),UnitedHealth Group Incorporated Common Stock (DE)
BAC,BAC | Bank of America Corporation Common Stock,Bank of America Corporation Common Stock
WMT,WMT | Walmart Inc. Common Stock,Walmart Inc. Common Stock
ADI,ADI | Analog Devices Inc. Common Stock,Analog Devices Inc. Common Stock
HD,HD | Home Depot Inc. (The) Common Stock,Home Depot Inc. (The) Common Stock
MA,MA | Mastercard Incorporated Common Stock,Mastercard Incorporated Common Stock
PG,PG | Procter & Gamble Company (The) Common Stock,Procter & Gamble Company (The) Common Stock
ASML,ASML | ASML Holding N.V. New York Registry Shares,ASML Holding N.V. New York Registry Shares
DIS,DIS | Walt Disney Company (The) Common Stock,Walt Disney Company (The) Common Stock
MCHP,MCHP | Microchip Technology Incorporated Common Stock,Microchip Technology Incorporated Common Stock
PYPL,PYPL | PayPal Holdings Inc. Common Stock,PayPal Holdings Inc. Common Stock
ADBE,ADBE | Adobe Inc. Common Stock,Adobe Inc. Common Stock
CRM,CRM | Salesforce.com Inc Common Stock,Salesforce.com Inc Common Stock
NFLX,NFLX | Netflix Inc. Common Stock,Netflix Inc. Common Stock
XOM,XOM | Exxon Mobil Corporation Common Stock,Exxon Mobil Corporation Common Stock
ORCL,ORCL | Oracle Corporation Common Stock,Oracle Corporation Common Stock
NTES,NTES | NetEase Inc. American Depositary Shares,NetEase Inc. American Depositary Shares
NKE,NKE | Nike Inc. Common Stock,Nike Inc. Common Stock
CMCSA,CMCSA | Comcast Corporation Class A Common Stock,Comcast Corporation Class A Common Stock
TM,TM | Toyota Motor Corporation Common Stock,Toyota Motor Corporation Common Stock
KO,KO | Coca-Cola Company (The) Common Stock,Coca-Cola Company (The) Common Stock
NVO,NVO | Novo Nordisk A/S Common Stock,Novo Nordisk A/S Common Stock
CSCO,CSCO | Cisco Systems Inc. Common Stock (DE),Cisco Systems Inc. Common Stock (DE)
PFE,PFE | Pfizer Inc. Common Stock,Pfizer Inc. Common Stock
TMO,TMO | Thermo Fisher Scientific Inc Common Stock,Thermo Fisher Scientific Inc Common Stock
LLY,LLY | Eli Lilly and Company Common Stock,Eli Lilly and Company Common Stock
INTC,INTC | Intel Corporation Common Stock,Intel Corporation Common Stock
PEP,PEP | PepsiCo Inc. Common Stock,PepsiCo Inc. Common Stock
VZ,VZ | Verizon Communications Inc. Common Stock,Verizon Communications Inc. Common Stock
ACN,ACN | Accenture plc Class A Ordinary Shares (Ireland),Accenture plc Class A Ordinary Shares (Ireland)
DHR,DHR | Danaher Corporation Common Stock,Danaher Corporation Common Stock
CVX,CVX | Chevron Corporation Common Stock,Chevron Corporation Common Stock
ABT,ABT | Abbott Laboratories Common Stock,Abbott Laboratories Common Stock
AVGO,AVGO | Broadcom Inc. Common Stock,Broadcom Inc. Common Stock
COST,COST | Costco Wholesale Corporation Common Stock,Costco Wholesale Corporation Common Stock
WFC,WFC | Wells Fargo & Company Common Stock,Wells Fargo & Company Common Stock
MRK,MRK | Merck & Company Inc. Common Stock (new),Merck & Company Inc. Common Stock (new)
SE,SE | Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Sea Limited American Depositary Shares each representing one Class A Ordinary Share
ABBV,ABBV | AbbVie Inc. Common Stock,AbbVie Inc. Common Stock
AZN,AZN | AstraZeneca PLC American Depositary Shares,AstraZeneca PLC American Depositary Shares
NVS,NVS | Novartis AG Common Stock,Novartis AG Common Stock
MS,MS | Morgan Stanley Common Stock,Morgan Stanley Common Stock
T,T | AT&T Inc.,AT&T Inc.
MCD,MCD | McDonald's Corporation Common Stock,McDonald's Corporation Common Stock
TXN,TXN | Texas Instruments Incorporated Common Stock,Texas Instruments Incorporated Common Stock
SHOP,SHOP | Shopify Inc. Class A Subordinate Voting Shares,Shopify Inc. Class A Subordinate Voting Shares
SAP,SAP | SAP  SE ADS,SAP  SE ADS
MDT,MDT | Medtronic plc. Ordinary Shares,Medtronic plc. Ordinary Shares
UPS,UPS | United Parcel Service Inc. Common Stock,United Parcel Service Inc. Common Stock
NEE,NEE | NextEra Energy Inc. Common Stock,NextEra Energy Inc. Common Stock
LIN,LIN | Linde plc Ordinary Share,Linde plc Ordinary Share
PM,PM | Philip Morris International Inc Common Stock,Philip Morris International Inc Common Stock
SCHW,SCHW | Charles Schwab Corporation (The) Common Stock,Charles Schwab Corporation (The) Common Stock
HON,HON | Honeywell International Inc. Common Stock,Honeywell International Inc. Common Stock
LOW,LOW | Lowe's Companies Inc. Common Stock,Lowe's Companies Inc. Common Stock
INTU,INTU | Intuit Inc. Common Stock,Intuit Inc. Common Stock
RY,RY | Royal Bank Of Canada Common Stock,Royal Bank Of Canada Common Stock
QCOM,QCOM | QUALCOMM Incorporated Common Stock,QUALCOMM Incorporated Common Stock
UNP,UNP | Union Pacific Corporation Common Stock,Union Pacific Corporation Common Stock
TMUS,TMUS | T-Mobile US Inc. Common Stock,T-Mobile US Inc. Common Stock
C,C | Citigroup Inc. Common Stock,Citigroup Inc. Common Stock
BHP,BHP | BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
CHTR,CHTR | Charter Communications Inc. Class A Common Stock New,Charter Communications Inc. Class A Common Stock New
HDB,HDB | HDFC Bank Limited Common Stock,HDFC Bank Limited Common Stock
AXP,AXP | American Express Company Common Stock,American Express Company Common Stock
SONY,SONY | Sony Group Corporation American Depositary Shares ,Sony Group Corporation American Depositary Shares 
BBL,BBL | BHP Group PlcSponsored ADR,BHP Group PlcSponsored ADR
BLK,BLK | BlackRock Inc. Common Stock,BlackRock Inc. Common Stock
RTX,RTX | Raytheon Technologies Corporation Common Stock,Raytheon Technologies Corporation Common Stock
GS,GS | Goldman Sachs Group Inc. (The) Common Stock,Goldman Sachs Group Inc. (The) Common Stock
UL,UL | Unilever PLC Common Stock,Unilever PLC Common Stock
TTE,TTE | TotalEnergies SE,TotalEnergies SE
AMD,AMD | Advanced Micro Devices Inc. Common Stock,Advanced Micro Devices Inc. Common Stock
SBUX,SBUX | Starbucks Corporation Common Stock,Starbucks Corporation Common Stock
NOW,NOW | ServiceNow Inc. Common Stock,ServiceNow Inc. Common Stock
